TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
708,2432.1,1902.5,4429.5,573,614.8,370.1,527.2,1350.7,993.6,2938,162.7,19.1,408.2,590,13.7,7,1
709,3132.4,2752.2,6342,820.4,880.3,529.9,754.9,1933.9,1422.6,3776,564.2,19.3,1805.3,2388.8,13.7,7,1
710,1330.7,1058.5,2800,362.2,388.6,234,333.3,853.8,628.1,1687.6,0,186.7,373.3,560,13.8,7,1
711,2428.2,1638.8,4916.3,636,682.4,410.8,585.2,1499.1,1102.8,2788.2,0,25.2,466.4,491.6,13.4,7,1
712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,7,1
713,221.3,176.1,465.7,60.2,64.6,38.9,55.4,142,104.5,280.7,0,0,0,0,13.4,7,1
714,400.5,229.6,803.7,101.7,112.8,73.1,97,230.9,188.3,431.9,250.4,26.7,173.6,450.6,13.1,7,1
715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,7,1
716,440.3,892.3,2362.5,305.6,327.9,197.4,281.2,720.4,529.9,1407.5,142.4,98.2,231.9,472.5,13.2,7,1
717,440.3,892.3,2362.5,305.6,327.9,197.4,281.2,720.4,529.9,1407.5,142.4,98.2,231.9,472.5,13.3,7,1
718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,7,1
719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,7,1
720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,7,1
721,0,0,0,0,0,0,0,0,0,0,0,1400.7,1167.3,2568,12.6,7,1
722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,7,1
723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,7,1
724,1064.6,846.8,2240,289.8,310.9,187.2,266.6,683.1,502.5,1350.1,135,93.1,219.9,448,12.9,7,1
725,612.4,1241,3285.8,425.1,456.1,274.6,391.1,1002,737,1957.6,198.1,136.6,322.5,657.2,12.2,7,1
726,1829.5,1375.8,3704.1,479.2,514.1,309.5,440.9,1129.5,830.9,2291,163.4,15.3,112.1,290.7,12,7,1
727,296.9,337.6,578.7,96.7,107.9,70.7,74.7,147.5,81.2,332.2,186.5,15.2,231.5,433.1,12.6,7,1
801,1298.3,856,2282.6,288.8,320.3,207.5,275.5,655.7,534.8,1268,19.6,23.5,325.6,368.7,11.6,8,1
802,3321.9,1709.4,5840.5,738.9,819.6,530.9,704.9,1677.8,1368.5,2938.2,278.5,0,2298.9,2577.4,12.1,8,1
803,4416.1,3469.2,7764.3,982.2,1089.5,705.7,937.1,2230.4,1819.3,4656.6,27.1,58.3,642.2,727.6,12.5,8,1
804,3598.3,3095.9,6326.5,800.3,887.8,575,763.6,1817.4,1482.4,3757.9,240.5,181.3,783.1,1204.9,12,8,1
805,2259.7,1324.3,3972.9,502.6,557.5,361.1,479.5,1141.3,930.9,2345.8,74.3,7.4,317.7,399.3,11.5,8,1
806,3152.7,2267.6,5543,701.2,777.8,503.8,669,1592.3,1298.8,3318.4,90.8,88.7,942.1,1121.6,11.3,8,1
807,2192,1238.8,3854,487.5,540.8,350.3,465.2,1107.1,903,2391.6,132.3,13.3,566,711.5,11.3,8,1
808,2056.7,1166.5,3616.1,457.4,507.4,328.7,436.4,1038.8,847.3,2197,106.3,67.7,429,603,11.7,8,1
809,3516.7,2368,6183,782.2,867.6,562,746.3,1776.2,1448.8,3787.3,255.8,108.2,369.5,733.4,12.3,8,1
901,1862.6,1688.5,3904.7,545.3,594.2,370.5,489.5,1173.8,731.4,2379.7,52.4,25.4,312.7,390.5,11.6,9,1
902,2086.9,1652.8,4374.9,610.9,665.8,415.2,548.4,1315.1,819.5,2655,61.7,243.1,405.4,710.1,11.4,9,1
903,2594,1536.8,5438,759.4,827.6,516,681.7,1634.7,1018.6,3235.2,259.9,420.7,651.8,1332.2,11.7,9,1
904,3575,2810.4,7494.4,1046.6,1140.5,711.2,939.5,2252.8,1403.8,4763.9,350.9,329.7,541.3,1221.9,12.4,9,1
905,0,0,0,0,0,0,0,0,0,0,3979.2,1014.7,1484.3,6478.1,11.7,9,1
906,2945.1,2092.9,6174,862.2,939.6,585.9,774,1855.9,1156.5,3756.3,147.7,87.2,1162.6,1397.6,11.6,9,1
907,2116.2,1774.5,4436.3,619.5,675.1,421,556.1,1333.5,831,2802.5,101,122.6,393.6,617.2,12.7,9,1
908,2355.1,1481.1,4937.1,689.5,751.3,468.5,618.9,1484.1,924.8,3077.8,150.1,293.5,978.2,1421.8,11.7,9,1
909,1984.5,1346,4160.3,581,633.1,394.8,521.5,1250.6,779.3,2527.2,77.6,25.7,407.4,510.7,11.6,9,1
910,3462,2002.1,7257.5,1013.5,1104.5,688.7,909.8,2181.6,1359.4,4572.5,378.5,474.1,724.7,1577.3,12,9,1
911,1330.7,921.3,2800,391,426.1,265.7,351,841.7,524.5,1726.3,103.1,51.3,125.6,280,12,9,1
912,1252.3,2625.2,7997.9,1116.9,1217.1,759,1002.6,2404.2,1498.1,4928.2,294.5,146.4,358.9,799.8,12.7,9,1
913,3169.4,1845.6,6644.2,927.8,1011.1,630.5,832.9,1997.2,1244.5,4169.4,1165.5,74.9,814.1,2054.5,12.3,9,1
914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,9,1
915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,9,1
916,1688.8,1169.2,3553.4,496.2,540.8,337.2,445.5,1068.1,665.6,2190.7,130.9,65,159.4,355.3,11.2,9,1
917,1164.4,806.2,2450,342.1,372.8,232.5,307.1,736.5,458.9,1510.5,90.2,44.8,109.9,245,11.6,9,1
918,1164.4,806.2,2450,342.1,372.8,232.5,307.1,736.5,458.9,1510.5,90.2,44.8,109.9,245,12.1,9,1
919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,9,1
920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,9,1
921,2262.5,1509.1,4742.9,662.3,721.8,450.1,594.6,1425.7,888.4,2841.8,162.4,262.8,407.2,832.3,10.6,9,1
922,0,0,0,0,0,0,0,0,0,0,0,1224.3,3395.7,4620,10.8,9,1
923,0,0,0,0,0,0,0,0,0,0,574.5,285.6,700,1560,10.6,9,1
924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,9,1
925,0,0,0,0,0,0,0,0,0,0,1033.9,242.2,288.7,1564.8,10.8,9,1
