TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
1929,3233.6,1874.4,6794.7,626.3,795.2,651,1039.1,2626.1,1057,4208.7,931.8,400.2,834.9,2166.9,10.2,19,2
1930,2767.8,1661.7,5816,536.1,680.7,557.2,889.4,2247.8,904.7,3605.9,769.2,715.1,937.7,2421.9,10.2,19,2
1931,4122.2,2165.5,8662.1,798.4,1013.8,829.9,1324.7,3347.8,1347.4,5149.8,215.2,200.1,262.4,677.7,10.2,19,2
1932,2259.3,700.8,4747.4,437.6,555.6,454.8,726,1834.8,738.5,2713.7,277.7,258.2,338.6,874.5,10.2,19,2
1933,4179.5,2464.9,9479.7,1020.1,1250.8,971.4,1465.5,3534.3,1237.6,5738.2,699.9,488.9,951.7,2140.6,10.2,19,2
1934,3925,2064.4,8902.6,958,1174.6,912.3,1376.3,3319.1,1162.3,5388.7,687.7,480.4,935.2,2103.4,10.2,19,2
1935,2181.9,1074.7,4944.1,602.6,709.4,514.9,784.9,1741.1,591.1,2406.7,202.4,254.5,538.8,995.7,10.3,19,2
1936,2319.1,1186.5,5255.2,640.6,754.1,547.3,834.3,1850.6,628.3,2866.2,180,226.4,479.2,885.6,10.5,19,2
1937,630.7,199.8,1353.6,261,280,168.6,149.6,341,153.4,771.3,150.4,77.9,176.7,405,11.8,19,2
1938,5262.8,2814.1,12911.6,1610.7,1912.6,1409.2,2125.2,4374.8,1479.1,8124.1,929.9,481.6,1092.9,2504.3,10.7,19,2
2001,1142.8,936.3,2404.5,298.7,336.5,225,275,739.6,529.7,1432.4,5862.8,0,0,5862.8,10.5,20,2
2002,5417.9,4799.2,11530.3,1432.3,1613.6,1078.8,1318.6,3546.7,2540.3,6696.1,603.6,866.3,3714.8,5184.7,10.5,20,2
2003,1972.1,2030.7,4196.9,521.3,587.3,392.7,480,1291,924.6,2148.7,250.1,359,1539.4,2148.5,10.4,20,2
2004,5931.1,4961.3,12622.5,1568,1766.5,1181,1443.5,3882.7,2780.9,8036.2,976.4,65.9,339.3,1381.6,10.5,20,2
2005,6092.6,4802.3,12966.1,1610.6,1814.5,1213.1,1482.8,3988.4,2856.6,8325.9,3121.4,446.1,1282.3,4849.8,10.4,20,2
2006,0,0,0,0,0,0,0,0,0,0,5838.2,0,0,5838.2,10.4,20,2
2007,3487.6,2988.8,7422.1,922,1038.7,694.4,848.8,2283.1,1635.2,4557.9,1259.8,85,437.8,1782.6,10.8,20,2
2008,1806.8,1478.9,3845.1,477.6,538.1,359.8,439.7,1182.8,847.1,2249.3,259.3,36.6,250,545.9,10.4,20,2
2009,3417,2709.2,7272,903.3,1017.7,680.4,831.6,2236.9,1602.1,4585.5,1526.5,103,530.5,2160,10.7,20,2
2010,25.4,21,54,6.7,7.6,5.1,6.2,16.6,11.9,0,3529.7,498.9,3402.6,7430.9,10.3,20,2
2011,3584.3,3052.1,7628,947.5,1067.5,713.7,872.4,2346.4,1680.5,4478.6,1081.1,72.9,375.7,1529.7,10.3,20,2
2012,4424.3,3042,9415.6,1169.6,1317.7,880.9,1076.8,2896.2,2074.4,5325.8,860.3,123,353.4,1336.7,11.9,20,2
2013,0,0,0,0,0,0,0,0,0,0,179.8,12.1,62.5,254.5,11.6,20,2
2101,5710.9,2641.2,11171.9,2153.8,2311.2,1391.6,1234.8,2814.6,1265.9,6728.5,1088.8,195.1,2465,3748.9,11.8,21,2
2102,4450,2869.6,12148.3,2217.1,2283.8,1241.9,1377.2,3457.4,1570.9,7453.3,419.3,679.6,1238.9,2337.8,11.5,21,2
2103,9905.9,4196.1,13241.7,2416.7,2489.3,1353.7,1501.1,3768.6,1712.3,9347,1035.7,310.4,1891.9,3238,11.4,21,2
2104,0,0,0,0,0,0,0,0,0,0,3680.3,1280.6,5164.1,10125,11.4,21,2
2105,4465,3768,10820.9,1665.7,1834.8,1171.1,1298.8,3061.6,1788.8,6326.2,2781.6,901.6,3060.8,6743.8,11.1,21,2
2106,4099.7,2891.1,9935.6,1529.4,1684.7,1075.3,1192.6,2811.1,1642.5,5948.8,1731.4,602.5,2429.5,4763.4,11,21,2
2107,4490.9,2847.5,8449,1542,1588.3,863.7,957.8,2404.6,1092.6,4920.2,608.6,536.9,2216.4,3362,10.8,21,2
2108,1798.5,1410.2,4358.6,670.9,739.1,471.7,523.2,1233.2,720.5,2489.4,1018.6,330.1,1120.8,2469.5,10.7,21,2
