"Scenario","year","supertaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2030,2,22423.0259,82729.9192,8271.3409,7720.8110,7238.4290,7011.2465,9322.0874,8530.0358,6105.6961,4893.3256,3965.1964,3575.0835,3707.1676,3200.6396,2595.2783,2282.3118,1520.5815,2790.6883,20525.0814,926.4093,3418.0663,4111.5259,4601.7214,7467.3586,0.0000,27265.6560,17794.6347,101.0467,22960.2246
"BAU",2030,20,1798.2156,75876.0381,637.0989,727.5741,728.4083,877.7921,593.2534,349.0880,430.6166,436.5430,547.6574,559.1152,457.0030,313.1524,200.1009,187.6822,187.8866,310.7940,1255.2453,0.0000,155.4648,121.8304,103.6432,380.8443,493.4626,2618.1179,0.0000,79.1988,3272.7317
"BAU",2030,21,1698.4408,460617.3916,1231.9728,1081.7347,923.3278,795.2578,813.1789,613.6994,590.7936,438.0983,338.5724,235.7365,183.0803,176.9895,159.8077,98.7059,73.4687,65.9555,1425.7011,149.0692,298.1384,149.0692,149.0692,680.3550,0.0000,4284.5613,0.0000,893.0345,2699.7243
"BAU",2030,22,34535.1079,659391.9498,17417.6841,16296.9785,14877.7062,15061.0769,15370.1879,11042.7673,8879.4136,7562.4066,7717.3023,7111.0954,6038.3567,5004.0414,3750.4927,3236.8312,3090.2914,5321.2503,33584.0217,7187.8711,5787.7005,6281.3272,2411.8247,11915.2981,0.0000,57753.4876,20008.6345,3223.5783,55344.3714
"BAU",2030,23,1012.4414,477927.6989,657.8945,682.3741,634.1513,482.7559,390.2811,283.0931,318.4833,305.5862,269.9438,204.9964,142.9648,107.8316,75.9563,54.5012,43.4141,34.9170,797.4552,218.0177,124.5510,88.2147,62.2755,304.3962,0.0000,2130.7733,0.0000,0.0000,1679.1531
"BAU",2030,3,26541.0993,118456.3267,13455.4964,12529.9753,12119.5367,11260.9331,10761.4839,10726.6570,9466.1367,7718.8672,6166.7949,5431.7825,4990.9916,4322.3311,3233.8650,2467.7569,1790.3301,2013.3885,18791.5734,364.7880,6704.8110,2722.4369,2411.7240,6587.8135,0.0000,46114.6946,0.0000,0.0000,29509.0093
"BAU",2030,4,59081.6242,185505.6378,15909.0349,15398.6448,13579.0845,16660.5040,14682.0351,12778.0165,11373.5712,9725.6123,10418.5747,9920.3613,8639.0107,8108.1669,6654.2039,6561.7664,6377.6602,17487.3388,56835.6958,1766.5883,22811.8758,15554.5660,9071.2411,7631.4246,0.0000,46586.9029,8044.1602,4175.6875,75251.3986
"BAU",2030,5,47317.7836,141012.9813,13050.1465,11671.4912,10256.9777,16671.1893,14669.0280,10979.2860,8069.0060,6486.5414,6641.8505,6508.5320,5915.7305,5851.0298,4950.2542,4671.9051,4294.9431,10325.0700,48544.3778,0.0000,13457.8647,12907.8318,12096.6804,10036.2454,45.7556,42670.3883,22925.9230,12142.4914,54139.0018
"BAU",2030,6,52303.4670,203166.8216,32153.9919,26583.2612,22494.6542,28353.1913,20116.0428,14665.3820,10999.9405,9376.9845,6549.3657,5947.7655,4980.6481,4335.4738,4294.0282,3680.7202,3494.6074,5140.7643,66208.2887,1247.5240,13038.0444,28501.0576,5684.8793,17736.7834,0.0000,98985.3805,9824.0653,43599.5416,45416.6618
"BAU",2030,7,61802.1282,286237.6840,32526.0120,30591.7442,28111.1935,27617.3012,25394.4654,24232.5664,21050.9828,17734.1148,13701.9739,12674.8342,11785.1809,10529.1881,8526.9554,7441.3645,5620.1169,8699.6900,48446.5131,4502.2473,17632.9096,5314.5245,6219.5426,14357.8423,419.4468,95446.8533,4190.3596,3585.9817,78120.7538
"BAU",2030,8,8793.2345,31748.6832,2911.0756,2696.4569,2298.8371,2665.8749,2532.5910,2270.2989,2022.5560,1669.1241,1794.2232,1692.8725,1443.7453,1394.4038,1164.9804,1171.0086,1125.8227,2894.8123,6512.1949,0.0000,2771.1979,1675.1520,710.2777,1355.5673,0.0000,9402.9449,0.0000,248.5203,13599.2723
"BAU",2030,9,15254.3937,59853.7273,5978.6743,6238.3319,5737.6158,6512.7721,5271.2454,3845.4529,3569.0756,3300.4387,3510.7319,3512.2266,2934.3779,2300.4591,1808.8808,1598.1543,1297.3544,2437.9358,9637.7370,0.0000,4113.4883,1464.4386,967.4835,3092.3267,0.0000,21149.2464,0.0000,1750.5662,20883.2834
"BAU",2035,1,59809.6781,196750.2998,22406.3172,19639.0267,17514.5004,25555.4828,19297.2427,14059.2636,11596.2365,9618.6445,8451.9925,8036.9161,7450.0850,6250.4504,5728.6967,4904.6310,4605.1201,11635.6936,140766.7114,619.8672,47694.4504,45112.7836,27873.2179,19466.3922,0.0000,79665.0468,26295.1611,43046.6572,57305.0257
"BAU",2035,10,61377.3223,333140.7741,53832.3896,49266.2792,42488.8321,34810.5727,25749.2823,20807.9432,18799.9920,17268.6076,16193.1861,11741.3006,9563.1375,7258.9650,6073.0322,5419.2606,4578.2668,9289.7269,67904.6243,9736.8188,14133.0801,11677.4965,7403.4837,24282.7696,670.9756,166857.5811,0.0000,28703.6277,84610.8342
"BAU",2035,11,69039.7783,321538.2221,42792.1418,41034.3584,36288.8887,32796.4334,27520.3840,19955.1917,17893.2464,17006.6043,16566.6882,16560.4451,14569.5982,11337.2302,8848.0076,6942.6270,5022.6303,6403.7467,69522.6867,3478.1505,24871.8064,15082.4918,5532.5299,20407.9380,149.7701,138947.6938,0.0000,23446.4478,108659.8210
"BAU",2035,12,12348.0010,320581.8776,7825.4623,6837.9183,5829.9158,5448.7205,5321.0740,4828.0808,3970.8051,3355.5116,2693.8327,2650.5057,2649.5945,2376.3139,1989.7990,1609.4019,1417.7819,3140.2449,9221.5839,0.0000,3238.9849,1397.5913,1201.4986,3383.5092,0.0000,23302.7606,0.0000,3172.2362,21879.6380
"BAU",2035,13,13932.8978,309192.9891,8965.9846,7991.6205,6973.3744,6197.1593,6142.3639,5287.1678,4070.9693,3841.4948,2638.5770,2153.9705,1747.3293,1515.8561,1390.0644,862.1308,600.5101,793.6056,9942.7491,88.1127,2478.7512,2038.3223,1363.7250,3973.8379,0.0000,26480.5525,0.0000,2523.4331,22170.7449
